0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:50 +0530] "POST /Revpro_App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:51 +0530] "GET /Revpro_App/admin/adminHome.jsp HTTP/1.1" 200 6830
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:51 +0530] "GET /Revpro_App/admin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:32:55 +0530] "GET /Revpro_App/admin/add_products.jsp HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:35:14 +0530] "POST /Revpro_App/add_products HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:35:14 +0530] "GET /Revpro_App/admin/add_products.jsp HTTP/1.1" 200 7304
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:36:46 +0530] "POST /Revpro_App/add_products HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:36:46 +0530] "GET /Revpro_App/admin/add_products.jsp HTTP/1.1" 200 7304
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:36:54 +0530] "POST /Revpro_App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:36:54 +0530] "GET /Revpro_App/login.jsp HTTP/1.1" 200 7653
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:36:56 +0530] "GET /Revpro_App/index.jsp HTTP/1.1" 200 26772
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:36:56 +0530] "GET /Revpro_App/products/oreo.jpg HTTP/1.1" 200 14030
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:37:01 +0530] "GET /Revpro_App/all_others.jsp HTTP/1.1" 200 8091
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:46:21 +0530] "GET /Revpro_App/index.jsp HTTP/1.1" 200 27338
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:46:21 +0530] "GET /Revpro_App/products/oreo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:10:46:21 +0530] "GET /Revpro_App/products/masala%20chach.jpg HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:01:11 +0530] "GET /Revpro_App/login.jsp HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:01:16 +0530] "POST /Revpro_App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:01:16 +0530] "GET /Revpro_App/admin/adminHome.jsp HTTP/1.1" 200 6830
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:01:19 +0530] "GET /Revpro_App/admin/add_products.jsp HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:00 +0530] "POST /Revpro_App/add_products HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:00 +0530] "GET /Revpro_App/admin/add_products.jsp HTTP/1.1" 200 7304
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:06 +0530] "POST /Revpro_App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:06 +0530] "GET /Revpro_App/login.jsp HTTP/1.1" 200 7653
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:08 +0530] "GET /Revpro_App/index.jsp HTTP/1.1" 200 27338
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:08 +0530] "GET /Revpro_App/products/oreo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:06:08 +0530] "GET /Revpro_App/products/masala%20chach.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:07:40 +0530] "GET /Revpro_App/index.jsp HTTP/1.1" 200 27338
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:07:49 +0530] "GET /Revpro_App/all_icebars.jsp HTTP/1.1" 200 8633
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:07:49 +0530] "GET /Revpro_App/products/images.jpeg HTTP/1.1" 200 7989
0:0:0:0:0:0:0:1 - - [26/Aug/2024:11:07:56 +0530] "GET /Revpro_App/index.jsp HTTP/1.1" 200 27866
